Nitrogen,Potassium,Phosphorous,Fertilizer Name
37,0,0,Urea
12,0,36,DAP
7,9,30,14-35-14
22,0,20,28-28
35,0,0,Urea
12,10,13,17-17-17
9,0,10,20-20
41,0,0,Urea
21,0,18,28-28
9,7,30,14-35-14
13,0,40,DAP
14,15,12,17-17-17
36,0,0,Urea
24,0,22,28-28
14,0,41,DAP
10,13,14,17-17-17
38,0,0,Urea
21,0,19,28-28
39,0,0,Urea
13,0,36,DAP
10,0,9,20-20
12,14,12,17-17-17
11,0,37,DAP
36,0,0,Urea
13,0,10,20-20
23,0,20,28-28
9,9,29,14-35-14
38,0,0,Urea
12,0,39,DAP
14,0,13,20-20
24,0,23,28-28
12,0,40,DAP
39,0,0,Urea
7,9,30,14-35-14
23,0,19,28-28
41,0,0,Urea
8,10,31,14-35-14
12,0,41,DAP
15,14,11,17-17-17
15,0,37,DAP
13,0,13,20-20
10,7,32,14-35-14
22,0,24,28-28
35,0,0,Urea
10,0,35,DAP
8,8,28,14-35-14
12,0,8,20-20
24,0,18,28-28
41,0,0,Urea
5,9,29,14-35-14
23,0,21,28-28
13,0,14,20-20
40,0,0,Urea
12,0,42,DAP
11,12,15,17-17-17
23,0,24,28-28
38,0,0,Urea
8,0,15,20-20
11,13,15,17-17-17
15,0,37,DAP
36,0,0,Urea
13,0,9,20-20
24,0,20,28-28
5,18,15,10-26-26
37,0,0,Urea
15,0,40,DAP
9,0,13,20-20
8,8,33,14-35-14
6,19,16,10-26-26
10,0,14,20-20
21,0,23,28-28
39,0,0,Urea
23,0,19,28-28
42,0,0,Urea
13,0,39,DAP
9,10,22,14-35-14
22,0,21,28-28
10,0,15,20-20
7,16,20,10-26-26
14,0,38,DAP
10,8,29,14-35-14
41,0,0,Urea
14,0,35,DAP
11,0,9,20-20
21,0,28,28-28
8,7,31,14-35-14
13,17,16,10-26-26
35,0,0,Urea
12,18,19,10-26-26
11,0,38,DAP
8,9,30,14-35-14
6,19,21,10-26-26
41,0,0,Urea
9,10,30,14-35-14
24,0,19,28-28
4,17,17,10-26-26
39,0,0,Urea
15,0,41,DAP
12,0,10,20-20
75,100,50,Urea
80,100,50,Urea
85,100,50,Urea
90,100,50,Urea
95,100,50,Urea
100,100,50,Urea
75,105,55,Urea
80,105,55,Urea
85,105,55,Urea
90,105,55,Urea
95,105,55,Urea
100,105,55,Urea
75,110,60,Urea
80,110,60,Urea
85,110,60,Urea
90,110,60,Urea
95,110,60,Urea
100,110,60,Urea
75,115,50,Urea
80,115,50,Urea
85,115,50,Urea
90,115,50,Urea
95,115,50,Urea
100,115,50,Urea
75,100,55,DAP
80,100,55,DAP
85,100,55,DAP
90,100,55,DAP
95,100,55,DAP
100,100,55,DAP
75,105,60,DAP
80,105,60,DAP
85,105,60,DAP
90,105,60,DAP
95,105,60,DAP
100,105,60,DAP
75,110,50,DAP
80,110,50,DAP
85,110,50,DAP
90,110,50,DAP
95,110,50,DAP
100,110,50,DAP
75,115,55,DAP
80,115,55,DAP
85,115,55,DAP
90,115,55,DAP
95,115,55,DAP
